word	nodeType	synsetCount	unit	count
prettiest	NOUN	2	shining-dialogue	2
principal	NOUN	7	shining-dialogue	2
problem	NOUN	3	shining-dialogue	20
producer	NOUN	3	shining-dialogue	3
program	NOUN	10	shining-dialogue	2
project	NOUN	14	shining-dialogue	2
prune	NOUN	3	shining-dialogue	2
pump	NOUN	11	shining-dialogue	2
quarter	NOUN	18	shining-dialogue	2
r	NOUN	4	shining-dialogue	192
r.hand	NOUN	0	shining-dialogue	2
rack	NOUN	18	shining-dialogue	4
radio	NOUN	5	shining-dialogue	50
railroad	NOUN	5	shining-dialogue	2
raincoat	NOUN	1	shining-dialogue	2
raisin	NOUN	1	shining-dialogue	2
ranger	NOUN	3	shining-dialogue	101
react	NOUN	3	shining-dialogue	2
reaction	NOUN	7	shining-dialogue	2
reading	NOUN	19	shining-dialogue	2
recei	NOUN	0	shining-dialogue	2
receiver	NOUN	6	shining-dialogue	2
reception	NOUN	5	shining-dialogue	6
receptionist	NOUN	1	shining-dialogue	2
recollection	NOUN	3	shining-dialogue	2
record	NOUN	13	shining-dialogue	4
reference	NOUN	11	shining-dialogue	2
reflection	NOUN	8	shining-dialogue	2
region	NOUN	5	shining-dialogue	2
repair	NOUN	8	shining-dialogue	2
repetition	NOUN	3	shining-dialogue	10
responsibility	NOUN	3	shining-dialogue	10
rest	NOUN	18	shining-dialogue	6
reverse	NOUN	14	shining-dialogue	6
rib	NOUN	8	shining-dialogue	2
ring	NOUN	15	shining-dialogue	6
river	NOUN	1	shining-dialogue	4
road	NOUN	2	shining-dialogue	53
roast	NOUN	5	shining-dialogue	4
rock	NOUN	9	shining-dialogue	2
roll	NOUN	33	shining-dialogue	4
room	NOUN	5	shining-dialogue	58
round	NOUN	25	shining-dialogue	8
rule	NOUN	19	shining-dialogue	2
sack	NOUN	13	shining-dialogue	2
sandwich	NOUN	3	shining-dialogue	8
scar	NOUN	3	shining-dialogue	4
school	NOUN	10	shining-dialogue	10
schoolteacher	NOUN	1	shining-dialogue	2
screaming	NOUN	8	shining-dialogue	2
search	NOUN	9	shining-dialogue	4
season	NOUN	6	shining-dialogue	2
seat	NOUN	16	shining-dialogue	8
seclusion	NOUN	2	shining-dialogue	2
second	NOUN	15	shining-dialogue	2
secretary	NOUN	4	shining-dialogue	2
self	NOUN	3	shining-dialogue	2
sense	NOUN	9	shining-dialogue	2
sentence	NOUN	4	shining-dialogue	4
service	NOUN	18	shining-dialogue	2
serviette	NOUN	1	shining-dialogue	12
set	NOUN	45	shining-dialogue	28
settler	NOUN	3	shining-dialogue	2
shaft	NOUN	14	shining-dialogue	4
sheet	NOUN	10	shining-dialogue	24
shelf	NOUN	2	shining-dialogue	10
shine	NOUN	11	shining-dialogue	4
shining	NOUN	15	shining-dialogue	6
ship	NOUN	6	shining-dialogue	2
shooting	NOUN	22	shining-dialogue	16
shot	NOUN	38	shining-dialogue	11
shotgun	NOUN	1	shining-dialogue	2
shoulder	NOUN	8	shining-dialogue	14
showing	NOUN	14	shining-dialogue	2
side	NOUN	14	shining-dialogue	30
sidewinder	NOUN	2	shining-dialogue	4
sink	NOUN	13	shining-dialogue	2
sir	NOUN	2	shining-dialogue	2
site	NOUN	4	shining-dialogue	4
situation	NOUN	5	shining-dialogue	4
skeleton	NOUN	4	shining-dialogue	6
skiing	NOUN	2	shining-dialogue	2
slash	NOUN	9	shining-dialogue	2
sleep	NOUN	6	shining-dialogue	6
sleeve	NOUN	2	shining-dialogue	2
slide	NOUN	10	shining-dialogue	2
slope	NOUN	3	shining-dialogue	2
smile	NOUN	3	shining-dialogue	2
snow	NOUN	6	shining-dialogue	74
snowball	NOUN	6	shining-dialogue	2
snowbound	NOUN	1	shining-dialogue	2
snowcat	NOUN	0	shining-dialogue	2
snowdrift	NOUN	1	shining-dialogue	2
snowstorm	NOUN	1	shining-dialogue	4
sobbing	NOUN	2	shining-dialogue	6
sociable	NOUN	3	shining-dialogue	2
socket	NOUN	3	shining-dialogue	2
sofa	NOUN	1	shining-dialogue	6
solitude	NOUN	3	shining-dialogue	2
son	NOUN	2	shining-dialogue	16
sort	NOUN	6	shining-dialogue	4
soul	NOUN	5	shining-dialogue	2
sound	NOUN	24	shining-dialogue	6
sperm	NOUN	1	shining-dialogue	2
spilling	NOUN	6	shining-dialogue	2
splinter	NOUN	4	shining-dialogue	2
splintering	NOUN	4	shining-dialogue	2
sport	NOUN	9	shining-dialogue	2
spot	NOUN	20	shining-dialogue	2
spring	NOUN	11	shining-dialogue	2
staff	NOUN	8	shining-dialogue	4
stair	NOUN	1	shining-dialogue	40
stake	NOUN	10	shining-dialogue	2
star	NOUN	12	shining-dialogue	2
step	NOUN	21	shining-dialogue	20
stethoscope	NOUN	1	shining-dialogue	2
stomach	NOUN	6	shining-dialogue	2
stool	NOUN	8	shining-dialogue	4
stop	NOUN	22	shining-dialogue	4
stopman	NOUN	0	shining-dialogue	2
stopping	NOUN	13	shining-dialogue	2
store	NOUN	6	shining-dialogue	14
storeroom	NOUN	1	shining-dialogue	2
storm	NOUN	8	shining-dialogue	12
story	NOUN	6	shining-dialogue	4
stove	NOUN	4	shining-dialogue	2
streamer	NOUN	4	shining-dialogue	2
street	NOUN	5	shining-dialogue	4
strength	NOUN	9	shining-dialogue	2
stretch	NOUN	20	shining-dialogue	2
stuff	NOUN	14	shining-dialogue	2
sugar	NOUN	4	shining-dialogue	2
sun	NOUN	7	shining-dialogue	2
supply	NOUN	7	shining-dialogue	2
surprise	NOUN	6	shining-dialogue	2
swing	NOUN	22	shining-dialogue	14
swirl	NOUN	3	shining-dialogue	2
switch	NOUN	14	shining-dialogue	6
switchboard	NOUN	1	shining-dialogue	10
table	NOUN	8	shining-dialogue	78
talent	NOUN	2	shining-dialogue	4
talk	NOUN	11	shining-dialogue	2
talkin	NOUN	0	shining-dialogue	2
talking	NOUN	7	shining-dialogue	2
tap	NOUN	20	shining-dialogue	4
teacher	NOUN	2	shining-dialogue	2
teaching	NOUN	5	shining-dialogue	2
team	NOUN	3	shining-dialogue	2
telephone	NOUN	3	shining-dialogue	8
television	NOUN	3	shining-dialogue	2
temperature	NOUN	2	shining-dialogue	4
ten	NOUN	3	shining-dialogue	2
test	NOUN	13	shining-dialogue	2
thank	NOUN	1	shining-dialogue	6
thing	NOUN	12	shining-dialogue	58
thought	NOUN	17	shining-dialogue	4
thousand	NOUN	2	shining-dialogue	2
throat	NOUN	4	shining-dialogue	4
thumb	NOUN	6	shining-dialogue	4
ticket	NOUN	7	shining-dialogue	2
time	NOUN	15	shining-dialogue	44
timer	NOUN	3	shining-dialogue	2
