word	nodeType	synsetCount	unit	count
loss	NOUN	8	shining-dialogue	2
lot	NOUN	9	shining-dialogue	20
love	NOUN	10	shining-dialogue	2
love	VERB	10	shining-dialogue	14
lower	VERB	16	shining-dialogue	16
luck	NOUN	3	shining-dialogue	2
luggage	NOUN	1	shining-dialogue	6
lunch	NOUN	3	shining-dialogue	2
m.c.s.	NOUN	0	shining-dialogue	4
magazine	NOUN	6	shining-dialogue	2
make	VERB	51	shining-dialogue	41
man	NOUN	13	shining-dialogue	14
manage	VERB	7	shining-dialogue	4
many	ADJ	1	shining-dialogue	4
mark	NOUN	30	shining-dialogue	2
married	ADJ	5	shining-dialogue	2
marvellous	ADJ	3	shining-dialogue	2
match	NOUN	19	shining-dialogue	2
matter	NOUN	7	shining-dialogue	16
matter	VERB	7	shining-dialogue	4
maze	NOUN	2	shining-dialogue	22
mean	VERB	16	shining-dialogue	20
meat	NOUN	3	shining-dialogue	4
meet	VERB	15	shining-dialogue	18
melodramatic	ADJ	2	shining-dialogue	2
mental	ADJ	5	shining-dialogue	2
menu	NOUN	4	shining-dialogue	2
mess	NOUN	8	shining-dialogue	2
microphone	NOUN	1	shining-dialogue	4
mid	ADJ	1	shining-dialogue	2
mile	NOUN	8	shining-dialogue	2
